Type (Required),Name (Required),Latitude (Required),Longitude (Required),Description,Label Only or Popup (Required),Watershed,Notes (not mapped)
Coastkeeper Project Site,,,,,,,
Coastkeeper Project Site,,,,,,,
Coastkeeper Project Site,,,,,,,
Coastkeeper Project Site,,,,,,,
Community,Encinitas,33.044393,-117.289968,,Label Only,Carlsbad,
Community,San Marcos,33.141264,-117.166487,,Label Only,Carlsbad,
Community,Carlsbad,33.156965,-117.348939,,Label Only,Carlsbad,
Community,Escondido,33.122884,-117.092358,,Label Only,Carlsbad,
Community,La Jolla,32.847132,-117.270218,,Label Only,Penasquitos,
Community,Chula Vista,32.62797,-117.027623,,Label Only,Otay,
Coastkeeper HQ,San Diego Coastkeeper Office,32.737986,-117.21311,The headquarters of San Diego Coastkeeper,Popup,Pueblo San Diego,
Community,Downtown,32.714177,-117.159798,,Label Only,Pueblo San Diego,
Community,Point Loma,32.704603,-117.245485,,Label Only,Pueblo San Diego,
Community,Ocean Beach,32.746266,-117.254068,,Label Only,Pueblo San Diego,
Community,National City,32.671675,-117.102399,,Label Only,Pueblo San Diego,
Community,Lemon Grove,32.740251,-117.027759,,Label Only,Pueblo San Diego,
Community,La Mesa,32.770275,-117.027408,,Label Only,Pueblo San Diego,
Community,Santee,32.844078,-116.976082,,Label Only,San Diego,
Community,El Cajon,32.796688,-116.959749,,Label Only,San Diego,
Community,Ramona,33.039731,-116.865903,,Label Only,San Dieguito,
Community,Solana Beach,32.988552,-117.272565,,Label Only,San Dieguito,
Community,Del Mar,32.962818,-117.262658,,Label Only,San Dieguito,
Community,Warner Springs,33.282461,-116.649388,,Label Only,San Luis Rey,
Community,Spring Valley,32.74113,-117.001401,,Label Only,Sweetwater,
Community,Descanso,32.853513,-116.616582,,Label Only,Sweetwater,
Community,Guatay,32.850526,-116.559469,,Label Only,Sweetwater,
Point of Interest,UC San Diego ,32.881022,-117.237399,,Label Only,Penasquitos,
Point of Interest,University of San Diego,32.771969,-117.19236,,Label Only,Penasquitos,
Point of Interest,San Diego State University,32.775568,-117.071932,,Label Only,San Diego,
Point of Interest,Camp Pendleton Marine Corps Base,33.315414,-117.434783,,Label Only,San Juan,
Public Land or Protected Area,Otay Valley Regional Park,32.588607,-117.079248,Beautiful river park and location of quarterly community cleanups and invasive species removal events hosted by Coastkeeper,Popup,Otay,
Recreation Destination,Santa Ysabel Open Space Preserve,33.102715,-116.698436,,Label Only,Penasquitos,
Recreation Destination,Volcan Mountain Wilderness Preserve,33.110843,-116.583003,,Label Only,Penasquitos,
Recreation Destination,Tecolote Canyon,32.810689,-117.195993,,Popup,Penasquitos,
Recreation Destination,Torrey Pines State Preserve,32.924065,-117.248249,,Popup,Penasquitos,
Recreation Destination,Balboa Park,32.735186,-117.144553,,Label Only,Pueblo San Diego,
Recreation Destination,Mission Trails Regional Park,32.830377,-117.044687,Popular hiking and rock climbing area bisected by the San Diego River,Popup,San Diego,
Recreation Destination,William Heise Regional Park,33.040692,-116.58856,Popular camping and hiking destination,Popup,San Diego,
Recreation Destination,El Capitan Preserve/El Cajon Mountain,32.913869,-116.820004,"Home to one of the hardest hikes in San Diego, and ample rock climbing",Popup,San Diego,
Recreation Destination,Palomar Mountain State Park,33.33771,-116.894737,"Palomar Mountain State Park is a popular recreation area featuring hiking trails, campsites, scenic vistas, 6,138' Palomar Mountain, and the famous Palomar Observatory. ",Popup,San Luis Rey,
Recreation Destination,Hellhole Canyon Preserve,33.242594,-116.932499,,Label Only,San Luis Rey,
Recreation Destination,Cuyamaca Rancho State Park,32.931342,-116.566949,"Beautiful state park with ample opportunities for hiking, wildlife viewing, and spring wildflowers",Popup,Sweetwater,
Recreation Destination,Tijuana River National Estuarine Research Reserve,32.549813,-117.115304,An internationally important wetland with ample birdwatching opportunities and nature walks,Popup,Tijuana,
